station_name,lat,lon,country,priority
PADK,51.88,-176.65,US,7
PAKH,56.93,-154.18,US,8
PAUT,54.13,-165.6,US,7
PAFM,67.1,-157.85,US,7
PAKP,68.13,-151.73,US,7
PANC,61.17,-150.02,US,5
PALH,61.18,-149.97,US,7
PAMR,61.22,-149.85,US,7
PAGN,57.5,-134.58,US,8
PANI,61.58,-159.53,US,7
PANT,55.03,-131.57,US,5
PANV,62.65,-160.18,US,7
PARC,68.12,-145.58,US,7
PAAK,52.22,-174.2,US,7
PATQ,70.47,-157.43,US,7
PABA,70.13,-143.58,US,7
PABE,60.78,-161.83,US,5
PABT,66.92,-151.52,US,6
PALV,60.82,-152.3,US,7
PABV,61.42,-149.52,US,7
PFKT,65.33,-166.47,US,7
PAFR,61.27,-149.65,US,6
PABL,65.98,-161.15,US,7
PATW,63.38,-148.95,US,7
PALU,68.88,-166.1,US,6
PAEH,58.65,-162.07,US,6
PACZ,61.78,-166.03,US,6
PACE,65.57,-144.78,US,7
PARL,65.57,-144.78,US,7
PALR,67.5,-148.48,US,7
PAVA,61.53,-165.6,US,7
PAJC,56.32,-158.37,US,7
PAEC,62.88,-149.57,US,7
PACR,65.83,-144.07,US,7
PFCL,58.83,-158.53,US,7
PACD,55.22,-162.72,US,5
PACV,60.5,-145.47,US,6
PASC,70.2,-148.47,US,6
PADE,66.07,-162.77,US,7
PABI,64.0,-145.72,US,6
PADL,59.05,-158.5,US,6
PADU,53.9,-166.53,US,6
PAEG,64.78,-141.15,US,7
PASY,52.72,174.12,US,5
PAII,58.18,-157.38,US,7
PAEI,64.67,-147.1,US,6
PAEL,58.2,-136.35,US,7
PFEL,64.62,-162.27,US,7
PAED,61.25,-149.83,US,6
PAEM,62.78,-164.48,US,7
PAZK,61.93,-147.17,US,7
PAFA,64.8,-147.87,US,5
PAKF,54.85,-163.42,US,7
PAFK,62.53,-153.6,US,7
PAFB,64.83,-147.62,US,6
PFYU,66.57,-145.23,US,7
PAFN,58.25,-134.9,US,7
PAGB,68.48,-149.48,US,7
PAGA,64.73,-156.93,US,6
PAGM,63.77,-171.73,US,7
PAGL,64.55,-163.0,US,7
PAGK,62.15,-145.45,US,6
PAGS,58.42,-135.7,US,6
PAHN,59.25,-135.52,US,6
PAHZ,61.98,-152.08,US,7
PAHV,63.87,-148.97,US,7
PAHC,62.18,-159.78,US,7
PAHO,59.63,-151.48,US,6
PAOH,58.1,-135.45,US,7
PAHP,61.52,-166.15,US,7
PAHL,65.7,-156.35,US,7
PAHS,65.7,-156.38,US,7
PAHY,55.2,-132.83,US,7
PAIG,59.32,-155.9,US,7
PAIL,59.75,-154.92,US,6
PAIM,66.0,-153.7,US,6
PAJN,58.35,-134.55,US,0
PAFE,56.97,-133.92,US,7
PALG,61.53,-160.33,US,7
PAKV,64.33,-158.72,US,7
PAEN,60.57,-151.25,US,6
PAKT,55.35,-131.72,US,6
PAIK,66.98,-160.43,US,8
PAVC,55.12,-162.27,US,8
PAKN,58.68,-156.65,US,5
PAKI,59.93,-164.03,US,8
PAVL,67.73,-164.55,US,7
PAKW,55.58,-133.07,US,7
PADQ,57.75,-152.5,US,5
PAJZ,59.73,-157.27,US,8
PAOT,66.88,-162.6,US,5
PAKK,64.93,-161.15,US,7
PAKU,70.32,-149.6,US,7
PFKW,60.8,-161.43,US,7
PAML,65.0,-150.65,US,7
PAMB,58.98,-159.05,US,7
PADM,61.87,-162.03,US,8
PAMX,61.43,-142.88,US,7
PAMC,62.97,-155.62,US,5
PAIN,63.73,-148.92,US,7
PAMY,60.37,-166.27,US,7
PAMM,55.13,-131.58,US,7
PAMD,59.43,-146.3,US,7
PAMH,63.9,-152.28,US,7
PAMO,62.1,-163.68,US,7
PABN,62.4,-143.0,US,7
PANA,60.68,-161.98,US,7
PAOU,56.0,-161.17,US,8
PANN,64.55,-149.08,US,7
PANW,59.45,-157.32,US,8
PAFS,63.02,-154.35,US,7
PAWN,67.57,-162.98,US,7
PAOM,64.5,-165.43,US,5
PFNO,66.82,-161.02,US,7
PAOR,62.97,-141.93,US,6
PAQT,70.22,-151.0,US,6
PPNU,70.2,-150.98,US,8
PALP,70.33,-150.93,US,7
PPIT,60.9,-162.43,US,7
POLI,70.5,-149.88,US,7
PFNU,70.5,-150.25,US,7
PAAQ,61.6,-149.08,US,6
PAXK,63.03,-145.5,US,7
PAPG,56.82,-132.93,US,6
PAPN,57.58,-157.57,US,8
PAPM,59.02,-161.82,US,7
PAPO,68.35,-166.8,US,7
PPIZ,69.73,-163.0,US,7
PAAD,70.13,-146.28,US,8
PATO,60.78,-148.85,US,7
PAAP,56.23,-134.65,US,7
PALJ,60.2,-154.3,US,7
PAPC,65.25,-166.85,US,7
PAPH,56.95,-158.62,US,7
PAPR,66.82,-150.65,US,7
PAUD,70.25,-148.33,US,7
PAPT,62.1,-152.72,US,7
PAQH,59.75,-161.85,US,7
PADG,68.03,-162.9,US,7
PARD,68.03,-162.9,US,7
PARY,64.73,-155.47,US,7
PARS,61.77,-161.32,US,7
PASM,62.07,-163.3,US,7
PASD,55.33,-160.52,US,7
PASA,63.68,-170.5,US,7
PACM,61.85,-165.57,US,7
PASK,66.6,-160.0,US,7
PASO,59.45,-151.7,US,7
PAWD,60.12,-149.42,US,7
PAHX,62.7,-159.57,US,7
PFSH,64.37,-161.22,US,8
PASH,66.27,-166.08,US,7
PAGH,66.88,-157.17,US,8
PASI,57.03,-135.35,US,6
PAGY,59.47,-135.32,US,6
PASW,61.97,-151.2,US,7
PADT,62.72,-143.85,US,7
PASL,61.68,-157.15,US,7
PALK,62.03,-146.67,US,7
PASX,60.48,-151.05,US,7
PFWS,58.7,-157.0,US,7
PASV,61.1,-155.57,US,7
PAPB,56.58,-169.67,US,7
PAMK,63.48,-162.12,US,8
PAER,61.27,-153.82,US,7
PASN,57.15,-170.22,US,5
PAJV,61.72,-148.88,US,7
PASP,61.82,-147.55,US,7
PATK,62.32,-150.1,US,6
PATA,65.17,-152.1,US,6
PATL,62.9,-155.97,US,6
PATE,65.23,-166.33,US,8
PATC,65.57,-167.92,US,6
PATG,59.05,-160.38,US,7
PAOO,60.53,-165.08,US,7
PAUM,69.37,-152.13,US,7
PAUN,63.88,-160.8,US,6
PABR,71.28,-156.78,US,5
PAVD,61.13,-146.25,US,6
PAVW,61.13,-146.35,US,7
PAWI,70.63,-160.02,US,7
PAIW,65.62,-168.1,US,8
PAWS,61.57,-149.53,US,7
PAWM,64.68,-163.42,US,8
PAWR,60.78,-148.72,US,7
PAKX,60.2,-154.32,US,7
PAUO,61.75,-150.05,US,7
PAIZ,61.63,-149.03,US,7
PAWG,56.48,-132.37,US,6
PAYA,59.52,-139.67,US,5
KEET,33.18,-86.78,US,3
K8A0,34.23,-86.25,US,7
KALX,32.92,-85.97,US,7
K79J,31.32,-86.4,US,8
KANB,33.58,-85.85,US,6
KAUO,32.62,-85.43,US,7
KAUB,32.6,-85.5,US,7
K1R8,30.87,-87.82,US,7
KEKY,33.32,-86.93,US,7
KBHM,33.57,-86.75,US,4
K0A8,32.93,-87.08,US,6
K9A4,34.67,-87.35,US,8
K3A1,34.27,-86.85,US,7
KCMD,34.27,-86.85,US,7
KDCU,34.65,-86.95,US,7
KDYA,32.47,-87.95,US,7
KDHN,31.32,-85.45,US,6
KEDN,31.3,-85.9,US,7
KEUF,31.95,-85.13,US,8
KGZH,31.42,-87.05,US,7
KCQF,30.47,-87.88,US,8
K0J4,31.05,-86.32,US,8
K4A9,34.47,-85.72,US,7
KHEY,31.35,-85.65,US,8
KSXS,31.37,-85.85,US,7
KGAD,33.97,-86.08,US,7
KPRN,31.85,-86.62,US,8
KJKA,30.28,-87.67,US,7
K1M4,34.28,-87.6,US,8
K0J6,31.37,-85.32,US,7
KHSV,34.65,-86.78,US,4
KMDQ,34.87,-86.55,US,8
KJFX,33.9,-87.32,US,8
KLOR,31.35,-85.75,US,7
KA08,32.52,-87.38,US,8
KMXF,32.38,-86.37,US,6
KMOB,30.68,-88.25,US,3
KBFM,30.62,-88.07,US,7
KMGM,32.3,-86.4,US,4
KMSL,34.75,-87.6,US,6
KOZR,31.28,-85.72,US,6
KPLR,33.57,-86.25,US,7
KRAM,29.05,-88.08,US,8
K1A9,32.43,-86.52,US,7
KHUA,34.68,-86.68,US,8
K4A6,34.68,-86.0,US,8
KSEM,32.35,-86.98,US,7
KSCD,33.17,-86.3,US,7
KASN,33.57,-86.05,US,8
KTOI,31.85,-86.02,US,7
KTCL,33.22,-87.62,US,6
KVOA,29.23,-87.78,US,9
KADF,34.1,-93.07,US,8
KBVX,35.73,-91.65,US,7
KSUZ,34.58,-92.48,US,7
KH00,36.35,-94.22,US,7
KVBT,36.35,-94.22,US,7
KXNA,36.28,-94.3,US,6
KBYH,35.97,-89.95,US,7
KHKA,35.93,-89.83,US,7
KCDH,33.62,-92.77,US,8
KCXW,35.02,-92.55,US,8
KCCA,35.6,-92.45,US,8
K4M9,36.4,-90.65,US,8
KDEQ,34.05,-94.4,US,7
KELD,33.22,-92.82,US,6
KFYV,36.02,-94.17,US,4
KFLP,36.28,-92.58,US,7
KFSM,35.33,-94.37,US,3
KHRO,36.27,-93.15,US,6
KHOT,34.48,-93.1,US,6
KJBR,35.83,-90.65,US,6
KLRF,34.92,-92.12,US,1
KLIT,34.73,-92.23,US,0
KMEZ,34.55,-94.2,US,8
KLLQ,33.63,-91.75,US,7
KBPK,36.37,-92.47,US,7
KMWT,34.55,-93.58,US,7
KM19,35.65,-91.17,US,8
KORK,34.83,-92.25,US,8
KLZK,34.83,-92.27,US,8
KPBF,34.18,-91.93,US,6
KROG,36.37,-94.1,US,7
KRUE,35.25,-93.1,US,7
KSRC,35.22,-91.73,US,7
KSLG,36.2,-94.48,US,7
KASG,36.17,-94.12,US,7
KSGT,34.6,-91.57,US,7
KTXK,33.45,-93.98,US,6
KARG,36.12,-90.92,US,6
KAWM,35.13,-90.23,US,5
KPHX,33.43,-112.02,US,0
KTUS,32.13,-110.95,US,2
KA39,32.98,-111.92,US,7
KBXK,33.42,-112.68,US,8
KIFP,35.15,-114.57,US,7
KCGZ,32.95,-111.77,US,7
KIWA,33.3,-111.65,US,3
KCHD,33.27,-111.82,US,8
KAZC,36.97,-113.02,US,8
KP08,32.93,-111.43,US,8
KDMA,32.17,-110.88,US,6
KDUG,31.47,-109.6,US,6
KFLG,35.13,-111.67,US,2
KFHU,31.58,-110.35,US,6
KGXF,32.88,-112.72,US,7
KGEU,33.53,-112.3,US,7
KLGF,32.87,-114.4,US,8
KLUF,33.53,-112.37,US,6
KGYR,33.42,-112.37,US,7
KGCN,35.95,-112.15,US,4
K40G,35.63,-112.15,US,7
KIGM,35.25,-113.93,US,7
KHII,34.57,-114.37,US,8
KMZJ,32.52,-111.32,US,7
KFFZ,33.47,-111.72,US,7
KOLS,31.42,-110.85,US,6
KPGA,36.92,-111.45,US,3
KPAN,34.25,-111.33,US,9
KDVT,33.68,-112.07,US,1
KALK,31.6,-110.43,US,8
KPRC,34.65,-112.42,US,3
KSAD,32.85,-109.63,US,6
KSDL,33.62,-111.92,US,7
KSEZ,34.85,-111.78,US,8
KSOW,34.27,-110.0,US,6
KJTC,34.13,-109.32,US,7
KSJN,34.52,-109.38,US,6
KTYL,34.45,-110.12,US,8
KAVQ,32.4,-111.22,US,8
KRYN,32.15,-111.17,US,8
KCMR,35.3,-112.2,US,8
KRQE,35.65,-109.07,US,7
KINW,35.03,-110.72,US,4
KYUM,32.63,-114.58,US,3
KNOZ,32.53,-114.5,US,8
KNYL,32.65,-114.62,US,6
KNGZ,37.77,-122.32,US,7
KAAT,41.48,-120.57,US,7
KAPV,34.57,-117.18,US,8
KACV,40.98,-124.1,US,6
KAUN,38.95,-121.08,US,8
KAVX,33.4,-118.42,US,7
KBFL,35.43,-119.05,US,6
KBAB,39.13,-121.43,US,6
KBUO,33.92,-116.97,US,7
KBYS,35.28,-116.63,US,6
KL35,34.27,-116.85,US,8
KBIH,37.37,-118.35,US,6
KBLH,33.62,-114.72,US,6
KL08,33.27,-116.32,US,8
KO57,38.27,-119.22,US,8
KBAN,38.35,-119.52,US,8
KBUR,34.2,-118.37,US,6
KBNY,40.87,-121.67,US,7
KC83,37.83,-121.62,US,8
KCXL,32.67,-115.5,US,7
KCMA,34.22,-119.1,US,7
KCZZ,32.63,-116.47,US,7
KNFG,33.3,-117.35,US,6
KCRQ,33.13,-117.28,US,6
KO59,41.55,-120.17,US,8
KO05,40.28,-121.23,US,7
KCIC,39.78,-121.85,US,7
KNID,35.68,-117.68,US,4
KCNO,33.98,-117.62,US,7
KO22,38.03,-120.42,US,7
KCCR,38.0,-122.05,US,7
KAJO,33.9,-117.6,US,8
KSNA,33.67,-117.87,US,6
KCEC,41.78,-124.23,US,6
KDAG,34.85,-116.78,US,6
KDWA,38.58,-121.85,US,8
KEDU,38.53,-121.78,US,8
KDLO,35.75,-119.23,US,8
KEDW,34.9,-117.87,US,3
K9L2,34.98,-117.87,US,8
KNJK,32.82,-115.67,US,6
KEMT,34.08,-118.03,US,7
KBLU,39.28,-120.7,US,7
KEKA,40.8,-124.1,US,8
KL18,33.35,-117.25,US,7
KFOT,40.55,-124.13,US,8
KFCH,36.72,-119.82,US,7
KFAT,36.78,-119.72,US,2
KFUL,33.87,-117.98,US,7
KGOO,39.22,-121.0,US,8
KHAF,37.52,-122.5,US,8
KHJO,36.32,-119.62,US,7
KO18,36.32,-119.63,US,7
KHHR,33.92,-118.33,US,7
KHWD,37.67,-122.12,US,7
KHES,38.65,-122.9,US,8
KHMT,33.73,-117.02,US,7
KCVH,36.9,-121.42,US,8
KHGT,36.0,-121.22,US,7
